,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Bahamas,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74.464 119 ,64.874 531 , 85.40 526,"Children estimates were not available at the time of publication."
Bahrain,... ,... , ...,"Estimates were not available at the time of publication.",56.874 035 ,48.448 252 , 62.959 323,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",56.76 193 ,48.080 694 , 62.994 613,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",59.134 765 ,50.020 008 , 66.026 411,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",58.896 284 ,49.540 918 , 66.338 053,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",58.318 847 ,49.174 777 , 66.446 909,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",58.033 315 ,48.654 193 , 66.240 046,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bangladesh,... ,... , ...,"Estimates were not available at the time of publication.",38.899 254 ,36.626 181 , 41.252 285,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",42.400 332 ,40.096 905 , 44.85 924,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",52.669 405 ,49.872 975 , 55.756 717,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",60.406 886 ,57.247 355 , 63.858 708,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",44.660 596 ,42.31 279 , 47.189 003,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",62.584 118 ,59.226 159 , 66.104 358,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Barbados,... ,... , ...,"Estimates were not available at the time of publication.",57.551 385 ,50.21 084 , 63.83 247,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",58.623 619 ,50.685 811 , 65.322 355,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",59.324 759 ,50.911 573 , 66.244 015,"Estimates were not available at the time of publication.",88.053 097 ,75.565 779 , 98.323 041,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",58.214 554 ,49.831 967 , 65.554 146,"Estimates were not available at the time of publication.",90.88 359 ,77.796 836 , 102.342 039,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",57.924 662 ,49.435 703 , 65.376 508,"Estimates were not available at the time of publication.",88.503 937 ,75.533 532 , 99.889 722,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",57.071 784 ,48.535 567 , 65.116 979,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belarus,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",68.135 304 ,55.166 742 , 88.53 716,"Children estimates were not available at the time of publication.",70.42 136 ,57.017 681 , 91.507 733,"Children estimates were not available at the time of publication.",69.723 866 ,56.452 945 , 90.601 387,"Children estimates were not available at the time of publication.",68.599 538 ,55.376 575 , 90.023 226,"Children estimates were not available at the time of publication.",78.11 874 ,63.060 896 , 102.515 282,"Children estimates were not available at the time of publication.",75.209 238 ,60.712 217 , 98.69 714,"Children estimates were not available at the time of publication.",69.835 995 ,55.942 158 , 92.57 817,"Children estimates were not available at the time of publication.",83.867 997 ,67.1 825 , 111.17 971,"Children estimates were not available at the time of publication.",84.051 144 ,67.32 921 , 111.4 225,"Children estimates were not available at the time of publication."
Belgium,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Belize,64.281 626 ,42.940 273 , 87.646 728,,47.640 249 ,31.823 795 , 64.956 539,,... ,... , ...,,65.268 456 ,43.658 318 , 89.178 321,,52.784 919 ,35.308 033 , 72.121 676,,60.5 ,40.46 868 , 82.663 031,,66.21 179 ,44.960 408 , 90.535 226,,51.030 503 ,34.651 717 , 69.776 971,,... ,... , ...,,67.862 882 ,45.108 643 , 92.616 295,,52.959 747 ,35.202 488 , 72.277 148,,66.824 645 ,44.418 524 , 91.199 355,,70.588 235 ,46.861 097 , 96.465 645,,56.25 ,37.342 437 , 76.871 061,,47.192 982 ,31.329 795 , 64.493 771,,68.464 304 ,45.396 721 , 94.55 599,,54.538 635 ,36.163 009 , 75.323 261,,65 ,43.09 964 , 89.771 443,
Benin,44.412 736 ,39.202 791 , 53.78 038,,89.609 756 ,79.097 864 , 108.510 467,,46.695 096 ,41.217 414 , 56.544 141,,47.962 837 ,42.286 762 , 58.265 526,,93.973 968 ,82.852 788 , 114.160 109,,40.838 722 ,36.005 737 , 49.611 111,,51.11 413 ,44.946 231 , 62.5 688,,88.516 746 ,77.835 505 , 108.353 337,,56.811 808 ,49.956 375 , 69.543 326,,53.956 019 ,47.557 492 , 66.38 128,,79.771 006 ,70.311 135 , 98.141 071,,79.158 594 ,69.771 348 , 97.38 763,,57.922 932 ,51.192 047 , 71.77 039,,97.824 717 ,86.45 708 , 121.211 372,,72.969 173 ,64.489 853 , 90.413 689,,62.239 079 ,55.236 073 , 77.358 472,,93.66 849 ,83.129 115 , 116.422 854,,81.704 571 ,72.51 135 , 101.552 607,
Bhutan,26.792 009 ,8.846 715 , 62.210 352,,55.263 158 ,18.247 882 , 128.319 624,,... ,... , ...,,30.105 018 ,10.046 715 , 68.500 333,,56.589 147 ,18.88 506 , 128.76 177,,... ,... , ...,,33.565 621 ,11.344 478 , 76.565 482,,65.743 945 ,22.220 079 , 149.966 444,,... ,... , ...,,35.870 819 ,12.246 554 , 79.726 722,,75.241 158 ,25.687 869 , 167.231 501,,... ,... , ...,,39.588 101 ,13.543 298 , 93.715 997,,79.190 751 ,27.091 573 , 187.466 435,,95.454 545 ,32.655 502 , 225.967 338,,42.063 492 ,14.593 456 , 99.340 424,,79.514 825 ,27.586 776 , 187.788 413,,... ,... , ...,
Bolivia (Plurinational State of),... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,70.132 069 ,58.33 207 , 82.582 181,,... ,... , ...,,... ,... , ...,,69.289 428 ,57.519 671 , 81.911 823,,... ,... , ...,,... ,... , ...,,76.370 757 ,63.295 198 , 90.62 382,,... ,... , ...,,... ,... , ...,,78.378 378 ,64.7 033 , 92.98 014,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Bosnia and Herzegovina,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Botswana,77.602 102 ,72.850 514 , 83.530 448,,79.851 431 ,74.962 117 , 85.951 613,,... ,... , ...,,79.759 927 ,74.982 344 , 85.948 487,,81.822 386 ,76.921 262 , 88.170 972,,... ,... , ...,,82.83 434 ,77.926 262 , 89.444 648,,82.471 236 ,77.584 672 , 89.052 568,,... ,... , ...,,85.568 428 ,80.217 397 , 92.762 712,,83.388 866 ,78.174 134 , 90.3 999,,96.661 743 ,90.61 699 , 104.788 713,,87.099 495 ,81.565 273 , 94.461 027,,85.084 349 ,79.678 168 , 92.275 564,,95.864 982 ,89.773 809 , 103.967 362,,88.308 886 ,82.546 621 , 95.686 124,,87.421 928 ,81.717 538 , 94.725 071,,97.797 959 ,91.41 652 , 105.967 905,
Brazil,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Brunei Darussalam,... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",90.909 091 ,50.36 855 , 128.992 629,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bulgaria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92.857 143 ,80.026 655 , 104.142 353,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",94.778 481 ,82.385 018 , 105.785 556,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",80.320 366 ,69.784 467 , 89.682 084,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92.844 167 ,79.830 711 , 104.234 918,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92.844 732 ,79.550 496 , 104.327 513,"Children estimates were not available at the time of publication."
Burkina Faso,58.563 318 ,49.831 445 , 67.350 414,,68.608 076 ,58.378 516 , 78.902 332,,... ,... , ...,,61.986 565 ,52.535 722 , 71.268 737,,69.976 213 ,59.307 221 , 80.454 794,,... ,... , ...,,64.837 778 ,54.839 771 , 74.321 333,,73.509 084 ,62.173 959 , 84.260 956,,... ,... , ...,,66.626 287 ,56.476 281 , 76.837 378,,68.622 246 ,58.168 171 , 79.139 236,,... ,... , ...,,68.521 111 ,58.309 , 79.096 163,,79.52 757 ,67.6 751 , 91.801 279,,... ,... , ...,,71.555 387 ,61.024 219 , 82.658 733,,86.698 805 ,73.938 904 , 100.151 976,,... ,... , ...,
Burundi,69.267 409 ,62.202 623 , 78.468 114,,62.123 537 ,55.787 376 , 70.37 533,,... ,... , ...,,72.303 245 ,65.080 177 , 81.775 962,,73.558 264 ,66.20 982 , 83.195 406,,... ,... , ...,,75.659 625 ,68.350 244 , 85.381 638,,82.406 665 ,74.445 461 , 92.99 565,,... ,... , ...,,79.384 247 ,71.445 553 , 89.308 289,,89.649 897 ,80.684 603 , 100.857 276,,... ,... , ...,,82.538 304 ,74.124 493 , 92.693 001,,96.198 249 ,86.391 967 , 108.033 531,,... ,... , ...,,85.060 886 ,76.150 358 , 95.261 057,,96.242 532 ,86.160 674 , 107.783 562,,89.494 887 ,80.119 877 , 100.226 766,
Cabo Verde,86.842 105 ,75.246 229 , 100.723 299,,63.411 897 ,54.944 616 , 73.547 912,,... ,... , ...,,90.995 261 ,78.833 809 , 105.571 753,,69.895 833 ,60.554 305 , 81.092 417,,... ,... , ...,,90.230 415 ,77.839 326 , 105.781 648,,71.910 112 ,62.034 898 , 84.303 836,,31.960 227 ,27.571 219 , 37.468 579,,89.336 918 ,76.208 554 , 105.987 526,,89.167 503 ,76.064 035 , 105.786 536,,35.787 089 ,30.528 054 , 42.457 084,,91.870 629 ,77.41 546 , 110.983 575,,90.675 547 ,76.408 415 , 109.539 865,,45.435 467 ,38.28 653 , 54.887 951,,95.408 163 ,79.669 061 , 116.096 158,,91.532 977 ,76.433 149 , 111.380 689,,... ,... , ...,
Cambodia,67.421 932 ,60.694 428 , 75.109 109,,96.156 829 ,86.562 095 , 107.120 244,,... ,... , ...,,70.083 596 ,63.108 422 , 78.027 715,,97.910 498 ,88.165 811 , 109.008 853,,... ,... , ...,,73.01 098 ,65.708 167 , 81.376 955,,100 ,88.85 047 , 110.037 779,,94.363 314 ,84.924 766 , 105.17 595,,78.283 543 ,70.301 122 , 87.197 746,,100 ,88.941 359 , 110.318 098,,95.550 241 ,85.807 168 , 106.430 616,,83.227 783 ,74.79 444 , 92.477 494,,100 ,89.231 039 , 110.327 223,,96.661 664 ,86.867 086 , 107.40 438,,86.826 892 ,78.018 588 , 96.27 983,,100 ,89.308 688 , 110.212 521,,97.097 913 ,87.247 648 , 107.669 068,
